"","ENT","Entidad","MUN","Municipio","Alf","Asi","EBC","Der","Pis","San","Agu","Dre","Ele","Lav","Ref","Ing"
"139",19,"Nuevo León",21,"General Escobedo",0.985227184413531,0.973893521488133,0.747522686795013,0.879237089324255,0.990508202843896,0.985379717432296,0.990016305486477,0.9987884750271,0.998232813197424,0.863680667522932,0.955510616784631,20518.4686778264
"140",19,"Nuevo León",26,"Guadalupe",0.986195809057454,0.987272237308514,0.777989498965807,0.862479081716831,0.994664240179187,0.990766066505858,0.995972605099931,0.997927076154376,0.99878316678153,0.910035105099931,0.976977084769125,18072.310314226
"141",19,"Nuevo León",31,"Juárez",0.985392483413957,0.979252683732452,0.764104759345869,0.872152620550732,0.988963846693682,0.990016525932131,0.985749213320354,0.996649537047518,0.997679578022774,0.852341928327259,0.956975980802753,9993.58071761572
"142",19,"Nuevo León",39,"Monterrey",0.982595305543849,0.981041104845959,0.756602516517818,0.867711382947044,0.993559227107253,0.992392969509282,0.989263182170096,0.996270611296885,0.99854711977202,0.888948556179683,0.972925692259542,25370.285510802
"143",19,"Nuevo León",46,"San Nicolás de los Garza",0.989713297631812,0.976450101579667,0.808365503220796,0.877878524774553,0.998732793321075,0.995370140303798,0.999362255462241,0.999262866703109,0.999246301909921,0.922559591843496,0.985588629925955,18028.0423631667
"144",19,"Nuevo León",48,"Santa Catarina",0.986527815238609,0.980970197393885,0.762136502334473,0.888348077136618,0.981732756518055,0.979422072170374,0.988870203725337,0.995442816980962,0.996123185150002,0.872925198012811,0.963285793142402,20424.2812680314
"145",20,"Oaxaca",41,"Huautla de Jiménez",0.691680486456606,0.949079949238579,0.366512915129151,0.684965449849934,0.692149758454106,0.533454106280193,0.66219806763285,0.639734299516908,0.955434782608696,0.121014492753623,0.283333333333333,7262.16092260526
"146",20,"Oaxaca",67,"Oaxaca de Juárez",0.969844420257379,0.969965520956793,0.744234852599872,0.747852244210664,0.962867785060491,0.942554788785263,0.94633730834753,0.956111223399648,0.993474431900211,0.658995755493316,0.875624404469725,16535.9552423176
"147",20,"Oaxaca",184,"San Juan Bautista Tuxtepec",0.929125816993464,0.97350505334082,0.595105056174983,0.789763901310613,0.929134028649327,0.909875795213572,0.908209633444411,0.939130999264292,0.982754143765958,0.635608257238066,0.816852036179513,7569.51278997231
"148",20,"Oaxaca",385,"Santa Cruz Xoxocotlán",0.961024186280159,0.976688311688312,0.706470239857862,0.777626049183609,0.938238003517293,0.88706975965162,0.759819110627251,0.923624487061385,0.981450464785194,0.59471568545348,0.864332970437987,11498.9438649093
"149",21,"Puebla",15,"Amozoc",0.948450743365291,0.954570708149921,0.613078295191468,0.787854650280686,0.970066723190917,0.958897039849596,0.851771297968813,0.977439451469016,0.995207726619235,0.594057581007852,0.733770781877834,9643.66373129298
"150",21,"Puebla",41,"Cuautlancingo",0.98321996034037,0.955090757354475,0.75180583646345,0.780530938478714,0.991468517857722,0.988192169202323,0.988516560158303,0.998118532455315,0.997696824212541,0.710253998118532,0.875531190190417,12482.0179545455
"151",21,"Puebla",45,"Chalchicomula de Sesma",0.906418081827522,0.96929143266818,0.530253091832724,0.826828576828577,0.967758228807139,0.837275864971799,0.972724976849903,0.865813620675141,0.997053624042428,0.475545079552151,0.551224850576648,9379.96572448636
"152",21,"Puebla",83,"Ixtacamaxtitlán",0.848743537333173,0.983143785540211,0.430127587867116,0.945304017372421,0.897016197783461,0.583290707587383,0.901619778346121,0.73998294970162,0.965217391304348,0.245183290707587,0.414492753623188,5045.62783137632
"153",21,"Puebla",114,"Puebla",0.973109415047463,0.968256992607271,0.736182050155822,0.787077270185212,0.991689975931829,0.982480880207414,0.971099608776055,0.988981145050227,0.998064788915631,0.715972344834636,0.866412355614203,15387.2031778971
